"date","variable","strat","type","median","mean","sd","max","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2025-10-20,"infections",NA,"Estimate based on preliminary data",249.027764470934,251.229547195772,37.5380512274427,3210,196.748826314718,228.585802419212,241.272584576387,256.212987421246,270.083678985788,314.862168268589
2025-10-21,"infections",NA,"Estimate based on preliminary data",267.597086418359,270.043964008356,42.7037866810664,3210,207.777486862193,244.42281182376,258.401146622054,275.580098844732,291.68080316368,342.351883119196
2025-10-22,"infections",NA,"Estimate based on preliminary data",287.051367019429,290.454667452753,48.9784430669299,3210,219.752138794174,261.455746274901,277.359488672987,296.414837737706,315.2548345685,373.226187994352
2025-10-23,"infections",NA,"Estimate based on preliminary data",308.52469406903,312.615505440735,56.5786443616919,3210,231.673251062578,279.180375618145,297.216324700761,319.120743628751,340.288294843376,408.06573167793
2025-10-24,"infections",NA,"Estimate based on preliminary data",331.467241137756,336.699101983568,65.7548926919122,3210,244.437900809733,297.121849748162,318.171743293568,343.794411700605,368.312137451528,446.010286872645
2025-10-25,"infections",NA,"Estimate based on preliminary data",355.705420627064,362.899620694349,76.7993646231293,3210,257.623838957138,315.840211887287,340.800503270959,370.308659339799,398.999311108585,490.22663440726
2025-10-26,"infections",NA,"Estimate based on preliminary data",382.29463110378,391.435814509775,90.0558394427688,3210,269.888090808764,336.188829086068,364.683595425929,399.293509044072,433.34986406028,542.492062419614
2025-10-27,"infections",NA,"Forecast",410.135802003262,422.12038693718,105.004377297382,3210,283.940251123946,358.01040202564,390.420616346444,429.650974628659,469.95857212185,599.279252845094
2025-10-28,"infections",NA,"Forecast",440.14627000604,455.487851731566,122.509609529438,3210,298.333425053451,380.252669115596,417.84659399713,463.017413829729,510.829929831347,662.636407608637
2025-10-29,"infections",NA,"Forecast",472.451961338597,491.73904565617,142.836804695751,3210,312.41018200444,404.199701522761,446.472156563667,498.104115381416,554.176850590029,732.654567330814
2025-10-30,"infections",NA,"Forecast",506.290741640383,531.126873596273,166.349733238369,3210,327.328580685432,430.480478724237,477.435957573125,537.739517943137,601.080296608425,810.093585460438
2025-10-31,"infections",NA,"Forecast",542.951835359021,573.943416379755,193.502694647618,3210,343.508552612112,457.40183359321,509.900942693657,578.303191247177,650.206634611237,896.194780640763
2025-11-01,"infections",NA,"Forecast",582.160219763697,620.512721339639,224.832143781701,3210,359.008992754594,486.237139693774,544.734793126426,623.587954314835,706.183277839863,994.61984606955
2025-11-02,"infections",NA,"Forecast",624.734715198687,671.191740509507,260.963775508924,3210,372.398892404126,516.600458532716,582.303529495622,671.463979285462,765.508005888885,1104.59417839604
2025-11-03,"infections",NA,"Forecast",670.499631096508,726.373901512789,302.627005864868,3210,389.4250333534,549.528185340425,622.498565549255,722.629351217341,830.879298345654,1223.41240823753
2025-11-04,"infections",NA,"Forecast",717.682335140081,786.493321752195,350.672972603637,3210,407.79065124378,583.030872074367,665.196613832732,778.728444674531,902.773424958667,1361.23880395612
2025-11-05,"infections",NA,"Forecast",769.996040675313,852.039050950064,406.123215179192,3210,426.099744194937,620.202048281965,711.264976328003,837.761396518602,980.284215774449,1511.02285345683
