"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2025-10-25,"R",NA,"Estimate based on preliminary data",1.26239337871671,1.27041049950253,0.0792841747516414,1.15659270793701,1.22157058980835,1.24728387814752,1.27806897007607,1.31045448344359,1.41009200310938
2025-10-26,"R",NA,"Estimate based on preliminary data",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-10-27,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-10-28,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-10-29,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-10-30,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-10-31,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-11-01,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-11-02,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-11-03,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-11-04,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
2025-11-05,"R",NA,"Forecast",1.26256042095229,1.27158533272461,0.0833124215269707,1.15219488211582,1.22091919511182,1.2469249830354,1.27942353978195,1.3135357937723,1.41818059007629
